INFO 2020-12-26 04:51:56,910 autoreload 9120 1896 Watching for file changes with StatReloader
DEBUG 2020-12-26 04:51:56,910 autoreload 9120 1896 Waiting for apps ready_event.
DEBUG 2020-12-26 04:51:56,939 autoreload 9120 1896 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2020-12-26 04:51:56,939 autoreload 9120 1896 Watching dir C:\Users\dan\just_django\tryjango\locale with glob **/*.mo.
DEBUG 2020-12-26 04:51:56,940 autoreload 9120 1896 Watching dir C:\Users\dan\just_django\myenvironmen\lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG 2020-12-26 04:51:56,940 autoreload 9120 1896 Watching dir C:\Users\dan\just_django\tryjango\fx\locale with glob **/*.mo.
DEBUG 2020-12-26 04:51:57,100 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1605589999.2632103
DEBUG 2020-12-26 04:51:57,101 autoreload 9120 1896 File C:\Users\dan\AppData\Local\Programs\Python\Python39\Lib\contextvars.py first seen with mtime 1601934402.0
DEBUG 2020-12-26 04:51:57,101 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\pytz\lazy.py first seen with mtime 1605589992.5354898
DEBUG 2020-12-26 04:51:57,101 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1605589999.1973872
DEBUG 2020-12-26 04:51:57,101 autoreload 9120 1896 File C:\Users\dan\AppData\Local\Programs\Python\Python39\Lib\asyncio\format_helpers.py first seen with mtime 1601934402.0
DEBUG 2020-12-26 04:51:57,101 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\asgiref\sync.py first seen with mtime 1605589993.280454
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\core\management\base.py first seen with mtime 1605589999.0128808
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\AppData\Local\Programs\Python\Python39\Lib\heapq.py first seen with mtime 1601934402.0
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1605589993.815023
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\core\files\locks.py first seen with mtime 1605589998.9739864
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1605589998.0504546
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\core\files\temp.py first seen with mtime 1605589998.9799683
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1605589993.182714
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\tryjango\fx\urls.py first seen with mtime 1608898472.0006928
DEBUG 2020-12-26 04:51:57,102 autoreload 9120 1896 File C:\Users\dan\just_django\myenvironmen\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1605589999.041805
DEBUG 2020-12-26 04:51:57,103 autoreload 9120 1896 File C:\Users\dan\AppData\Local\Programs\Python\Python39\Lib\keyword.py first seen with mtime 1601934402.0
